Ticker,Precio_Compra,Precio_Actual,Cantidad,P&L_%,P&L_USD,Score,Prob_NBIS,Sim_NBIS,Señal,Urgencia,Catalizador,Fecha_Cat
NBIS,129.9,157.94,3,21.59,84.12,17,26.1,0.0,Vender 30% · Mantener 70%,ESTA SEMANA,Sin catalizador identificado,—
MRNA,42.58,54.4,15,27.76,177.3,12,22.8,0.0,Vender 30% · Mantener 70%,ESTA SEMANA,Sin catalizador identificado,—
TAN,58.29,55.7,11,-4.44,-28.49,12,22.8,0.0,Mantener — esperar movimiento,MONITOR,Sin catalizador identificado,—
NVDA,189.47,201.54,2,6.37,24.14,17,26.1,0.0,Mantener — en camino al Tramo 1,AJUSTAR STOP,Sin catalizador identificado,—
CROX,78.72,111.23,4,41.3,130.04,17,26.1,0.0,Vender 40% · Runner 25%,HOY,Sin catalizador identificado,—
APLD,26.64,31.8,13,19.37,67.08,13,23.5,0.0,Mantener — en camino al Tramo 1,AJUSTAR STOP,Sin catalizador identificado,—
CNC,38.22,38.1,9,-0.31,-1.08,13,23.5,0.0,Mantener — esperar movimiento,MONITOR,Sin catalizador identificado,—
CLOV,2.66,2.21,117,-16.92,-52.65,17,34.0,0.0,SALIR — Stop loss activado,STOP LOSS,Sin catalizador identificado,—
ASTS,79.21,80.24,2,1.3,2.06,21,36.6,2.5,Mantener — esperar movimiento,MONITOR,Sin catalizador identificado,—
VOO,613.55,650.7,0,6.05,0.0,17,26.1,0.0,Mantener — en camino al Tramo 1,AJUSTAR STOP,Sin catalizador identificado,—
VOO,592.25,650.7,1,9.87,58.45,17,26.1,0.0,Mantener — en camino al Tramo 1,AJUSTAR STOP,Sin catalizador identificado,—
TAN,58.29,55.7,11,-4.44,-28.49,12,22.8,0.0,Mantener — esperar movimiento,MONITOR,Sin catalizador identificado,—
IBIT,63.7,43.23,7,-32.14,-143.29,15,32.8,0.0,SALIR — Stop loss activado,STOP LOSS,Sin catalizador identificado,—
ETHA,33.42,17.6,15,-47.34,-237.3,17,34.0,0.0,SALIR — Stop loss activado,STOP LOSS,Sin catalizador identificado,—
XBI,123.42,138.02,1,11.83,14.6,15,24.8,0.0,Mantener — en camino al Tramo 1,AJUSTAR STOP,Sin catalizador identificado,—
